Freq "DI offset"
22.4 0
23.0 0
23.6 0
24.0 0
25.0 0
25.8 0
26.5 0
27.2 0
28.0 0
29.0 0
30.0 0
30.7 0
31.5 0
32.5 0
33.5 0
34.5 0
35.5 0
36.5 0
37.5 0
38.7 0
40.0 0
41.2 0
42.5 0
43.7 0
45.0 0
46.2 0
47.5 0
48.7 0
50.0 0
51.5 0
53.0 0
54.5 0
56.0 0
58.0 0
60.0 0
61.5 0
63.0 0
65.0 0
67.0 0
69.0 0
71.0 0
73.0 0
75.0 0
77.5 0
80.0 0
82.5 0
85.0 0
87.5 0
90.0 0
92.5 0
95.0 0
97.5 0
100.0 0
103.0 0
106.0 0
109.0 0
112.0 0
115.0 0
118.0 0
122.0 0
125.0 0
128.0 0
132.0 0
136.0 0
140.0 0
145.0 0
150.0 0
155.0 0
160.0 0
165.0 0
170.0 0
175.0 0
180.0 0
185.0 0
190.0 0
195.0 0
200.0 0
206.0 0
212.0 0
218.0 0
224.0 0
230.0 0
236.0 0
240.0 0
250.0 0
258.0 0
265.0 0
272.0 0
280.0 0
290.0 0
300.0 0
307.0 0
315.0 0
325.0 0
335.0 0
345.0 0
355.0 0
365.0 0
375.0 0
387.0 0
400.0 0
412.0 0
425.0 0
437.0 0
450.0 0
462.0 0
475.0 0
487.0 0
500.0 0
515.0 0
530.0 0
545.0 0
560.0 0
580.0 0
600.0 0
615.0 0
630.0 0
650.0 0
670.0 0
690.0 0
710.0 0
730.0 0
750.0 0
775.0 0
800.0 0
825.0 0
850.0 0
875.0 0
900.0 0
925.0 0
950.0 0
975.0 0
1000.0 0
1030.0 0
1060.0 0
1090.0 0
1120.0 0
1150.0 0
1180.0 0
1220.0 0
1250.0 0
1280.0 0
1320.0 0
1360.0 0
1400.0 0
1450.0 0
1500.0 0
1550.0 0
1600.0 0
1650.0 0
1700.0 0
1750.0 0
1800.0 0
1850.0 0
1900.0 0
1950.0 0
2000.0 0
2060.0 0
2120.0 0
2180.0 0
2240.0 0
2300.0 0
2360.0 0
2400.0 0
2500.0 0
2580.0 0
2650.0 0
2720.0 0
2800.0 0
2900.0 0
3000.0 0
3070.0 0
3150.0 0
3250.0 0
3350.0 0
3450.0 0
3550.0 0
3650.0 0
3750.0 0
3870.0 0
4000.0 0
4120.0 0
4250.0 0
4370.0 0
4500.0 0
4620.0 0
4750.0 0
4870.0 0
5000.0 0
5150.0 0
5300.0 0
5450.0 0
5600.0 0
5800.0 0
6000.0 0
6150.0 0
6300.0 0
6500.0 0
6700.0 0
6900.0 0
7100.0 0
7300.0 0
7500.0 0
7750.0 0
8000.0 0
8250.0 0
8500.0 0
8750.0 0
9000.0 0
9250.0 0
9500.0 0
9750.0 0
10000.0 0
10300.0 0
10600.0 0
10900.0 0
11200.0 0
11500.0 0
11800.0 0
12200.0 0
12500.0 0
12800.0 0
13200.0 0
13600.0 0
14000.0 0
14500.0 0
15000.0 0
15500.0 0
16000.0 0
16500.0 0
17000.0 0
17500.0 0
18000.0 0
18500.0 0
19000.0 0
19500.0 0
