Freq "DI offset"
20.5078 0
21.9727 0
23.4375 0
24.9023 0
26.3672 0
27.832 0
29.2969 0
30.7617 0
32.2266 0
33.6914 0
35.1562 0
36.6211 0
38.0859 0
39.5508 0
41.0156 0
42.4805 0
43.9453 0
45.4102 0
46.875 0
48.3398 0
51.2695 0
52.7344 0
54.1992 0
55.6641 0
58.5938 0
60.0586 0
62.9883 0
64.4531 0
67.3828 0
68.8477 0
71.7773 0
74.707 0
77.6367 0
79.1016 0
82.0312 0
84.9609 0
87.8906 0
90.8203 0
95.2148 0
98.1445 0
101.074 0
105.469 0
108.398 0
112.793 0
117.188 0
120.117 0
124.512 0
128.906 0
133.301 0
139.16 0
143.555 0
147.949 0
153.809 0
159.668 0
165.527 0
171.387 0
177.246 0
183.105 0
188.965 0
196.289 0
203.613 0
210.938 0
218.262 0
225.586 0
232.91 0
241.699 0
250.488 0
259.277 0
268.066 0
276.855 0
287.109 0
297.363 0
307.617 0
319.336 0
329.59 0
341.309 0
353.027 0
366.211 0
379.395 0
392.578 0
405.762 0
420.41 0
435.059 0
451.172 0
465.82 0
483.398 0
499.512 0
517.09 0
536.133 0
555.176 0
574.219 0
594.727 0
615.234 0
637.207 0
659.18 0
682.617 0
707.52 0
732.422 0
757.324 0
785.156 0
811.523 0
840.82 0
870.117 0
900.879 0
933.105 0
965.332 0
1000.49 0
1035.64 0
1072.27 0
1108.89 0
1148.44 0
1189.45 0
1230.47 0
1274.41 0
1319.82 0
1366.7 0
1413.57 0
1463.38 0
1516.11 0
1568.85 0
1624.51 0
1681.64 0
1741.7 0
1803.22 0
1866.21 0
1932.13 0
1999.51 0
2069.82 0
2143.07 0
2219.24 0
2296.88 0
2378.91 0
2462.4 0
2548.83 0
2639.65 0
2731.93 0
2828.61 0
2928.22 0
3030.76 0
3137.7 0
3249.02 0
3363.28 0
3481.93 0
3604.98 0
3732.42 0
3864.26 0
4000.49 0
4141.11 0
4287.6 0
4438.48 0
4595.21 0
4756.35 0
4924.8 0
5097.66 0
5277.83 0
5463.87 0
5657.23 0
5856.45 0
6062.99 0
6276.86 0
6498.05 0
6726.56 0
6963.87 0
7209.96 0
7464.84 0
7727.05 0
7999.51 0
8282.23 0
8573.73 0
8876.95 0
9188.96 0
9514.16 0
9849.61 0
10196.8 0
10555.7 0
10927.7 0
11313.0 0
11712.9 0
12126.0 0
12553.7 0
12996.1 0
13454.6 0
13929.2 0
14419.9 0
14928.2 0
15455.6 0
16000.5 0
16564.5 0
17148.9 0
17752.4 0
18379.4 0
19026.9 0
19697.8 0
19999.5 0
